name,imageUrl,url,marketPrice,extNumber
York,https://tcgplayer-cdn.tcgplayer.com/product/552098_200w.jpg,https://cpt.tcgcsv.com/-Rq6,0.58,OP07-110,
I Re-Quasar Helllp!!,https://tcgplayer-cdn.tcgplayer.com/product/552099_200w.jpg,https://cpt.tcgcsv.com/_Rq6,4.44,OP07-115,
Egghead,https://tcgplayer-cdn.tcgplayer.com/product/552100_200w.jpg,https://cpt.tcgcsv.com/0Sq6,1.06,OP07-117,
Mr. Tanaka,https://tcgplayer-cdn.tcgplayer.com/product/552101_200w.jpg,https://cpt.tcgcsv.com/2Sq6,0.65,OP07-008,
Masked Deuce,https://tcgplayer-cdn.tcgplayer.com/product/552102_200w.jpg,https://cpt.tcgcsv.com/3Sq6,2.35,OP07-013,
Moda,https://tcgplayer-cdn.tcgplayer.com/product/552103_200w.jpg,https://cpt.tcgcsv.com/5Sq6,0.83,OP07-014,
Dragon Breath,https://tcgplayer-cdn.tcgplayer.com/product/552104_200w.jpg,https://cpt.tcgcsv.com/6Sq6,0.64,OP07-017,
Caribou,https://tcgplayer-cdn.tcgplayer.com/product/552105_200w.jpg,https://cpt.tcgcsv.com/7Sq6,0.62,OP07-023,
Bartolomeo,https://tcgplayer-cdn.tcgplayer.com/product/552106_200w.jpg,https://cpt.tcgcsv.com/8Sq6,3.97,OP07-031,
Monkey.D.Luffy (033),https://tcgplayer-cdn.tcgplayer.com/product/552107_200w.jpg,https://cpt.tcgcsv.com/9Sq6,5.93,OP07-033,
Roronoa Zoro (034),https://tcgplayer-cdn.tcgplayer.com/product/552108_200w.jpg,https://cpt.tcgcsv.com/bSq6,3.35,OP07-034,
More Pizza!!,https://tcgplayer-cdn.tcgplayer.com/product/552109_200w.jpg,https://cpt.tcgcsv.com/cSq6,3.15,OP07-037,
Crocodile,https://tcgplayer-cdn.tcgplayer.com/product/552110_200w.jpg,https://cpt.tcgcsv.com/dSq6,12.33,OP07-040,
Gloriosa (Grandma Nyon),https://tcgplayer-cdn.tcgplayer.com/product/552111_200w.jpg,https://cpt.tcgcsv.com/fSq6,5.92,OP07-041,
Salome,https://tcgplayer-cdn.tcgplayer.com/product/552112_200w.jpg,https://cpt.tcgcsv.com/gSq6,0.71,OP07-043,
Donquixote Doflamingo,https://tcgplayer-cdn.tcgplayer.com/product/552113_200w.jpg,https://cpt.tcgcsv.com/hSq6,1.55,OP07-048,
Slave Arrow,https://tcgplayer-cdn.tcgplayer.com/product/552114_200w.jpg,https://cpt.tcgcsv.com/jSq6,1.95,OP07-056,
Itomimizu,https://tcgplayer-cdn.tcgplayer.com/product/552115_200w.jpg,https://cpt.tcgcsv.com/kSq6,4.26,OP07-060,
Gina,https://tcgplayer-cdn.tcgplayer.com/product/552116_200w.jpg,https://cpt.tcgcsv.com/lSq6,7.52,OP07-065,
Hamburg,https://tcgplayer-cdn.tcgplayer.com/product/552117_200w.jpg,https://cpt.tcgcsv.com/mSq6,0.76,OP07-068,
Big Bun,https://tcgplayer-cdn.tcgplayer.com/product/552118_200w.jpg,https://cpt.tcgcsv.com/nSq6,1.94,OP07-070,
Slow-Slow Beam,https://tcgplayer-cdn.tcgplayer.com/product/552119_200w.jpg,https://cpt.tcgcsv.com/pSq6,1.12,OP07-075,
Captain John,https://tcgplayer-cdn.tcgplayer.com/product/552120_200w.jpg,https://cpt.tcgcsv.com/qSq6,0.47,OP07-082,
Gecko Moria (083),https://tcgplayer-cdn.tcgplayer.com/product/552121_200w.jpg,https://cpt.tcgcsv.com/rSq6,0.69,OP07-083,
Hattori,https://tcgplayer-cdn.tcgplayer.com/product/552122_200w.jpg,https://cpt.tcgcsv.com/sSq6,1.47,OP07-088,
Joseph,https://tcgplayer-cdn.tcgplayer.com/product/552123_200w.jpg,https://cpt.tcgcsv.com/tSq6,0.72,OP07-092,
